mgra_13,cocpa_13,jurisdiction_2015,jurisdiction_2016,cicpa_13
22843,NULL,11,11,NULL
15017,NULL,12,12,NULL
4051,NULL,14,14,1410
8047,NULL,2,2,NULL
9624,NULL,9,9,NULL
12956,1915,19,19,NULL
15953,1955,19,19,NULL
18870,NULL,7,7,NULL
21031,1951,19,19,NULL
21277,1922,19,19,NULL
21526,1904,19,19,NULL
3610,NULL,14,14,1423
5233,NULL,14,14,1462
8983,1921,19,19,NULL
14971,NULL,12,12,NULL
16594,1920,19,19,NULL
20344,1914,19,19,NULL
2090,NULL,14,14,1491
9916,NULL,9,9,NULL
10503,NULL,5,5,NULL
13497,NULL,6,6,NULL
19408,NULL,7,7,NULL
21323,1922,19,19,NULL
21572,1904,19,19,NULL
324,NULL,14,14,1428
11144,1907,19,19,NULL
11482,NULL,14,14,1431
1549,NULL,14,14,1444
1798,NULL,14,14,1444
3713,NULL,14,14,1418
9962,NULL,5,5,NULL
21864,1908,19,19,NULL
75,NULL,14,14,1442
616,NULL,14,14,1458
11436,NULL,14,14,1431
11977,NULL,14,14,1429
22797,NULL,11,11,NULL
842,NULL,14,14,1456
3759,NULL,14,14,1427
7506,NULL,3,3,NULL
201,NULL,14,14,1442
3902,NULL,14,14,1427
8857,1919,19,19,NULL
9521,NULL,9,9,NULL
11562,NULL,13,13,NULL
16517,1920,19,19,NULL
20218,1914,19,19,NULL
20882,1951,19,19,NULL
1887,NULL,14,14,1468
2551,NULL,14,14,1404
10211,1903,19,19,NULL
12203,NULL,14,14,1405
13789,NULL,6,6,NULL
15120,NULL,12,12,NULL
18867,NULL,7,7,NULL
21449,1904,19,19,NULL
3069,NULL,14,14,1424
5774,NULL,14,14,1412
10729,1907,19,19,NULL
14430,NULL,12,12,NULL
17135,NULL,12,12,NULL
22090,1908,19,19,NULL
12438,NULL,13,13,NULL
2428,NULL,14,14,1402
4592,NULL,14,14,1429
7171,NULL,14,14,1439
13248,NULL,17,17,NULL
13912,NULL,6,6,NULL
15827,1953,19,19,NULL
16829,NULL,18,18,NULL
17991,NULL,1,1,NULL
7812,NULL,11,11,NULL
15263,NULL,12,12,NULL
4466,NULL,14,14,1421
6630,NULL,14,14,1420
18532,1915,15,15,NULL
5940,NULL,14,14,1406
6481,NULL,14,14,1420
8104,NULL,2,2,NULL
8645,NULL,2,2,NULL
2010,NULL,14,14,1469
6338,NULL,14,14,1485
9255,NULL,10,10,NULL
4025,NULL,14,14,1410
8353,NULL,2,2,NULL
9398,NULL,10,10,NULL
11021,NULL,16,16,NULL
12730,1915,19,19,NULL
14353,NULL,1,1,NULL
17058,NULL,12,12,NULL
22382,1901,19,19,NULL
1383,NULL,14,14,1444
4715,NULL,14,14,1441
7632,NULL,11,11,NULL
10039,NULL,5,5,NULL
13371,NULL,6,6,NULL
16288,1955,19,19,NULL
17699,NULL,1,1,NULL
19285,1915,19,19,NULL
20616,1914,19,19,NULL
2700,NULL,14,14,1404
3241,NULL,14,14,1430
6942,1911,19,19,NULL
8565,NULL,2,2,NULL
11270,1907,19,19,NULL
11897,NULL,14,14,1431
14602,NULL,12,12,NULL
16225,1912,19,19,NULL
18303,1909,19,19,NULL
19926,NULL,7,7,NULL
22631,NULL,14,14,1430
1675,1918,19,19,NULL
8416,NULL,2,2,NULL
10331,NULL,5,5,NULL
10580,NULL,5,5,NULL
12495,NULL,14,14,1403
12744,1915,19,19,NULL
14659,NULL,12,12,NULL
18744,1909,19,19,NULL
20908,1914,19,19,NULL
20759,1951,19,19,NULL
22923,NULL,1,1,NULL
1134,NULL,14,14,1457
3298,NULL,14,14,1430
10872,NULL,16,16,NULL
13036,NULL,6,6,NULL
427,NULL,14,14,1428
3344,NULL,14,14,1430
4363,NULL,14,14,1440
5359,NULL,14,14,1406
12189,NULL,14,14,1405
15724,1953,19,19,NULL
16720,1912,19,19,NULL
20679,1902,19,19,NULL
21675,1904,19,19,NULL
7875,1999,19,19,NULL
9796,NULL,9,9,NULL
10792,NULL,16,16,NULL
11788,1915,19,19,NULL
22694,NULL,14,14,1421
1446,NULL,14,14,1444
6401,NULL,14,14,1420
7397,NULL,3,3,NULL
12807,1915,19,19,NULL
17762,NULL,1,1,NULL
2843,NULL,14,14,1404
5837,NULL,14,14,1412
9750,NULL,9,9,NULL
12329,NULL,13,13,NULL
13663,NULL,6,6,NULL
14250,NULL,1,1,NULL
16242,1912,19,19,NULL
20155,1914,19,19,NULL
21157,1922,19,19,NULL
3822,NULL,14,14,1427
10314,NULL,5,5,NULL
2302,NULL,14,14,1408
4881,NULL,14,14,1415
8794,1921,19,19,NULL
14204,NULL,1,1,NULL
20201,1914,19,19,NULL
21111,1922,19,19,NULL
1784,NULL,14,14,1444
3776,NULL,14,14,1427
4317,NULL,14,14,1410
7735,NULL,11,11,NULL
8276,NULL,2,2,NULL
10268,NULL,5,5,NULL
10809,NULL,16,16,NULL
19096,1909,19,19,NULL
19637,NULL,7,7,NULL
5923,NULL,14,14,1406
9859,NULL,9,9,NULL
10855,1907,19,19,NULL
14187,NULL,1,1,NULL
15183,NULL,12,12,NULL
21220,1922,19,19,NULL
22216,1903,19,19,NULL
968,NULL,14,14,1456
5296,NULL,14,14,1406
17198,NULL,12,12,NULL
17284,NULL,18,18,NULL
4300,NULL,14,14,1410
905,NULL,14,14,1457
7938,NULL,2,2,NULL
12266,NULL,13,13,NULL
4254,NULL,14,14,1410
6175,NULL,14,14,1419
6418,NULL,14,14,1447
8339,NULL,2,2,NULL
11333,1914,19,19,NULL
12667,1915,19,19,NULL
15661,1953,19,19,NULL
17825,NULL,18,18,NULL
19159,1909,7,7,NULL
22153,1902,19,19,NULL
13646,NULL,6,6,NULL
15810,1953,19,19,NULL
5877,NULL,14,14,1419
7798,NULL,11,11,NULL
12126,NULL,13,13,NULL
14290,NULL,1,1,NULL
17536,NULL,18,18,NULL
19700,NULL,7,7,NULL
2780,NULL,14,14,1442
4403,NULL,14,14,1421
9272,NULL,10,10,NULL
9813,NULL,9,9,NULL
13600,NULL,6,6,NULL
14141,NULL,1,1,NULL
15764,1953,19,19,NULL
16305,1920,19,19,NULL
20633,1901,19,19,NULL
21174,1951,19,19,NULL
2239,NULL,14,14,1428
12,NULL,14,14,1442
1031,NULL,14,14,1457
2027,NULL,14,14,1402
4732,NULL,14,14,1441
8691,NULL,2,2,NULL
9687,NULL,9,9,NULL
12392,NULL,13,13,NULL
17347,NULL,18,18,NULL
18343,NULL,15,15,NULL
20052,NULL,7,7,NULL
21048,1951,19,19,NULL
7460,NULL,3,3,NULL
19362,1909,19,19,NULL
3258,NULL,14,14,1430
5422,NULL,14,14,1406
8001,NULL,2,2,NULL
10165,1907,19,19,NULL
11914,1915,19,19,NULL
14078,NULL,1,1,NULL
22734,NULL,3,3,NULL
16657,1920,19,19,NULL
18578,NULL,15,15,NULL
18821,NULL,7,7,NULL
20570,1914,19,19,NULL
20742,1951,19,19,NULL
22491,1906,19,19,NULL
1486,NULL,14,14,1468
5986,NULL,14,14,1406
8150,NULL,2,2,NULL
553,NULL,14,14,1459
2717,NULL,14,14,1404
9209,1921,19,19,NULL
11373,NULL,13,13,NULL
14619,NULL,12,12,NULL
15873,1953,19,19,NULL
16783,NULL,19,19,NULL
18037,NULL,1,1,NULL
1243,NULL,14,14,1438
3407,NULL,14,14,1430
3948,NULL,14,14,1427
9899,1919,19,19,NULL
12604,NULL,14,14,1403
13145,NULL,17,17,NULL
14768,NULL,12,12,NULL
15309,1953,19,19,NULL
21260,1922,19,19,NULL
21801,1904,19,19,NULL
6112,NULL,14,14,1419
1180,NULL,14,14,1457
5508,NULL,14,14,1406
3195,NULL,14,14,1430
4191,NULL,14,14,1441
10228,NULL,5,5,NULL
11851,NULL,14,14,1431
14556,NULL,12,12,NULL
16179,1920,19,19,NULL
18884,NULL,7,7,NULL
7523,NULL,3,3,NULL
341,NULL,14,14,1428
6590,NULL,14,14,1420
8754,1921,19,19,NULL
10918,NULL,16,16,NULL
13082,NULL,4,4,NULL
15246,1953,19,19,NULL
17410,NULL,18,18,NULL
19574,NULL,7,7,NULL
21738,1904,19,19,NULL
490,NULL,14,14,1428
2654,NULL,14,14,1404
4818,NULL,14,14,1415
6982,NULL,14,14,1426
21589,1904,19,19,NULL
1721,NULL,14,14,1444
3885,NULL,14,14,1427
6049,NULL,14,14,1412
8213,NULL,2,2,NULL
10377,NULL,5,5,NULL
12541,NULL,13,13,NULL
14705,NULL,12,12,NULL
16869,NULL,18,18,NULL
17951,NULL,18,18,NULL
20115,1909,19,19,NULL
22279,1901,19,19,NULL
18100,NULL,1,1,NULL
18641,1909,19,19,NULL
20264,1914,19,19,NULL
20805,1951,19,19,NULL
22428,1906,19,19,NULL
22969,NULL,1,1,NULL
5170,NULL,14,14,1415
8087,NULL,2,2,NULL
9415,NULL,10,10,NULL
12332,NULL,13,13,NULL
3865,NULL,14,14,1427
6736,NULL,14,14,1420
13683,NULL,6,6,NULL
16554,1912,19,19,NULL
20845,1951,19,19,NULL
2468,NULL,14,14,1404
9461,NULL,9,9,NULL
15034,NULL,12,12,NULL
15203,NULL,12,12,NULL
18120,NULL,1,1,NULL
3819,NULL,14,14,1427
13729,NULL,6,6,NULL
13852,NULL,6,6,NULL
19471,1915,19,19,NULL
20799,1951,19,19,NULL
2345,NULL,14,14,1408
2422,NULL,14,14,1469
8256,NULL,2,2,NULL
12163,NULL,13,13,NULL
20991,1951,19,19,NULL
22319,1901,19,19,NULL
779,NULL,14,14,1456
9607,NULL,9,9,NULL
10812,NULL,16,16,NULL
10935,NULL,16,16,NULL
12478,NULL,14,14,1431
13806,NULL,6,6,NULL
19640,NULL,7,7,NULL
2299,NULL,14,14,1408
11127,1907,19,19,NULL
12209,NULL,14,14,1409
12455,NULL,13,13,NULL
13537,NULL,6,6,NULL
22196,1902,19,19,NULL
825,NULL,14,14,1456
948,NULL,14,14,1457
1071,NULL,14,14,1438
2153,NULL,14,14,1469
10981,NULL,16,16,NULL
1263,NULL,14,14,1468
6421,NULL,14,14,1447
11081,1907,19,19,NULL
13998,NULL,6,6,NULL
15326,1953,19,19,NULL
19156,NULL,7,7,NULL
6859,NULL,14,14,1433
10689,1903,19,19,NULL
12017,NULL,14,14,1429
13560,NULL,6,6,NULL
14888,NULL,12,12,NULL
20722,1902,19,19,NULL
22511,1906,19,19,NULL
8379,NULL,2,2,NULL
13952,NULL,6,6,NULL
19202,NULL,15,15,NULL
4901,NULL,14,14,1415
9561,NULL,9,9,NULL
10643,NULL,5,5,NULL
14934,NULL,12,12,NULL
19594,1909,19,19,NULL
20676,1902,19,19,NULL
5339,NULL,14,14,1406
7005,NULL,14,14,1426
8333,NULL,2,2,NULL
9169,1921,19,19,NULL
10497,NULL,5,5,NULL
15080,NULL,12,12,NULL
16408,1920,19,19,NULL
18074,NULL,1,1,NULL
2783,NULL,14,14,1442
4947,NULL,14,14,1415
7941,NULL,2,2,NULL
15472,1952,19,19,NULL
17636,NULL,1,1,NULL
15372,1953,19,19,NULL
16454,1920,19,19,NULL
6813,NULL,14,14,1425
15518,1952,19,19,NULL
16600,1920,19,19,NULL
16846,NULL,18,18,NULL
17682,NULL,18,18,NULL
17928,1909,19,19,NULL
19010,NULL,7,7,NULL
1340,NULL,14,14,1468
3427,NULL,14,14,1423
16162,1920,19,19,NULL
16992,1909,19,19,NULL
21237,1922,19,19,NULL
1861,NULL,14,14,1469
2906,NULL,14,14,1442
9853,NULL,9,9,NULL
12724,1915,19,19,NULL
7128,1911,19,19,NULL
10374,NULL,5,5,NULL
10543,NULL,5,5,NULL
19863,1909,19,19,NULL
22780,NULL,11,11,NULL
1532,NULL,14,14,1444
2737,NULL,14,14,1404
4778,NULL,14,14,1415
8479,NULL,2,2,NULL
11725,1915,19,19,NULL
18389,NULL,15,15,NULL
181,NULL,14,14,1442
679,NULL,14,14,1456
11250,1907,19,19,NULL
13414,NULL,6,6,NULL
12601,NULL,14,14,1403
13099,NULL,4,4,NULL
14765,NULL,12,12,NULL
15970,1912,19,19,NULL
19763,NULL,7,7,NULL
21429,1904,19,19,NULL
21804,1904,19,19,NULL
21927,1908,19,19,NULL
556,NULL,14,14,1459
10045,NULL,5,5,NULL
13291,NULL,17,17,NULL
20032,NULL,7,7,NULL
21114,1922,19,19,NULL
2030,NULL,14,14,1402
3235,NULL,14,14,1430
11940,NULL,14,14,1431
22588,NULL,14,14,1430
1761,NULL,14,14,1444
3006,NULL,14,14,1483
3504,NULL,14,14,1430
7334,NULL,8,8,NULL
17413,NULL,18,18,NULL
4572,NULL,14,14,1462
5070,NULL,14,14,1415
8900,1919,19,19,NULL
11519,NULL,13,13,NULL
15847,1953,19,19,NULL
18681,1920,19,19,NULL
387,NULL,14,14,1428
8210,NULL,2,2,NULL
9292,NULL,10,10,NULL
20945,1922,19,19,NULL
22027,1908,19,19,NULL
2614,NULL,14,14,1404
3696,NULL,14,14,1418
17307,NULL,18,18,NULL
20553,1914,19,19,NULL
21635,1904,19,19,NULL
4088,NULL,14,14,1410
6252,NULL,14,14,1435
16331,1920,19,19,NULL
1824,1921,19,19,NULL
3988,NULL,14,14,1410
5654,NULL,14,14,1450
6152,NULL,14,14,1435
7818,NULL,11,11,NULL
4380,NULL,14,14,1440
5462,NULL,14,14,1406
6544,NULL,14,14,1420
7626,NULL,11,11,NULL
8708,NULL,2,2,NULL
17115,NULL,12,12,NULL
18197,NULL,18,18,NULL
19279,1915,19,19,NULL
20361,1914,19,19,NULL
21443,1904,19,19,NULL
14559,NULL,12,12,NULL
15641,1953,19,19,NULL
16723,1912,19,19,NULL
17805,NULL,12,12,NULL
18887,NULL,7,7,NULL
19969,NULL,7,7,NULL
8917,1919,19,19,NULL
11834,1915,19,19,NULL
13162,NULL,6,6,NULL
16079,1912,19,19,NULL
21320,1922,19,19,NULL
72,NULL,14,14,1442
4695,NULL,14,14,1441
7234,NULL,14,14,1433
12853,NULL,6,6,NULL
14181,NULL,1,1,NULL
17052,NULL,12,12,NULL
1469,NULL,14,14,1468
2797,NULL,14,14,1442
5714,NULL,14,14,1406
6215,NULL,14,14,1435
18781,NULL,7,7,NULL
1778,NULL,14,14,1444
7188,NULL,14,14,1425
17098,NULL,12,12,NULL
22717,NULL,3,3,NULL
9086,1921,19,19,NULL
14327,NULL,1,1,NULL
15578,1953,19,19,NULL
18827,NULL,7,7,NULL
2943,NULL,14,14,1442
3158,NULL,14,14,1430
7443,NULL,3,3,NULL
10437,NULL,5,5,NULL
11642,NULL,14,14,1434
16929,NULL,19,19,NULL
20470,1914,19,19,NULL
8771,1919,19,19,NULL
4463,NULL,14,14,1421
5545,NULL,14,14,1406
8963,1919,19,19,NULL
14373,NULL,1,1,NULL
2989,NULL,14,14,1442
13022,1915,19,19,NULL
20301,1914,19,19,NULL
7251,NULL,8,8,NULL
10168,1907,19,19,NULL
11579,NULL,13,13,NULL
14496,NULL,12,12,NULL
14828,NULL,12,12,NULL
15409,1953,19,19,NULL
18326,NULL,15,15,NULL
19654,NULL,7,7,NULL
6361,NULL,14,14,1447
7689,NULL,11,11,NULL
10560,NULL,16,16,NULL
11187,1907,19,19,NULL
14390,NULL,12,12,NULL
18718,1909,19,19,NULL
7297,NULL,8,8,NULL
11625,NULL,14,14,1434
12707,1915,19,19,NULL
10606,NULL,5,5,NULL
11688,NULL,14,14,1464
16016,1912,19,19,NULL
6169,NULL,14,14,1419
10752,NULL,5,5,NULL
12080,NULL,14,14,1405
12661,NULL,6,6,NULL
12916,NULL,1,1,NULL
14244,NULL,1,1,NULL
15910,1955,19,19,NULL
17244,NULL,18,18,NULL
18572,NULL,15,15,NULL
20238,1914,19,19,NULL
22402,1906,19,19,NULL
1154,NULL,14,14,1457
3613,NULL,14,14,1423
5777,NULL,14,14,1412
10105,1903,19,19,NULL
13308,NULL,14,14,1488
19800,1909,19,19,NULL
7549,NULL,11,11,NULL
8631,1918,19,19,NULL
9713,NULL,9,9,NULL
12272,NULL,14,14,1434
13354,1915,19,19,NULL
14436,NULL,12,12,NULL
18764,1909,19,19,NULL
19846,NULL,14,14,1432
5087,NULL,14,14,1415
13245,NULL,17,17,NULL
13743,NULL,6,6,NULL
17490,1909,19,19,NULL
19909,NULL,7,7,NULL
20407,1914,19,19,NULL
9023,1921,19,19,NULL
19388,NULL,7,7,NULL
8525,NULL,2,2,NULL
1386,NULL,14,14,1444
3879,NULL,14,14,1427
6796,NULL,14,14,1486
2405,NULL,14,14,1469
2860,NULL,14,14,1442
6106,NULL,14,14,1419
9524,NULL,9,9,NULL
12770,1915,19,19,NULL
16471,1909,19,19,NULL
18180,NULL,1,1,NULL
19717,NULL,7,7,NULL
7835,NULL,11,11,NULL
9999,1919,19,19,NULL
16491,1909,19,19,NULL
16663,1920,19,19,NULL
5279,NULL,14,14,1406
5322,NULL,14,14,1406
11771,NULL,14,14,1464
13935,NULL,6,6,NULL
22634,NULL,14,14,1430
135,NULL,14,14,1442
1217,NULL,14,14,1438
3381,NULL,14,14,1430
6627,NULL,14,14,1420
1907,NULL,14,14,1456
4071,NULL,14,14,1410
5153,NULL,14,14,1415
19219,1909,19,19,NULL
21383,1904,19,19,NULL
22465,1906,19,19,NULL
931,NULL,14,14,1457
13915,NULL,6,6,NULL
17745,NULL,1,1,NULL
18243,NULL,15,15,NULL
22073,1908,19,19,NULL
22571,NULL,14,14,1430
4240,NULL,14,14,1410
21054,1951,19,19,NULL
21552,1904,19,19,NULL
304,NULL,14,14,1428
633,NULL,14,14,1458
1715,NULL,14,14,1444
3550,NULL,14,14,1417
4632,NULL,14,14,1440
4961,NULL,14,14,1441
7878,NULL,11,11,NULL
20862,1951,19,19,NULL
21944,1908,19,19,NULL
241,NULL,14,14,1442
696,NULL,14,14,1456
1323,NULL,14,14,1468
3942,NULL,14,14,1427
5024,NULL,14,14,1415
8270,NULL,2,2,NULL
9352,NULL,10,10,NULL
17553,NULL,18,18,NULL
18635,NULL,7,7,NULL
21881,1908,19,19,NULL
22963,NULL,1,1,NULL
14997,NULL,12,12,NULL
17161,NULL,12,12,NULL
19325,NULL,7,7,NULL
21489,1904,19,19,NULL
22136,1902,19,19,NULL
888,NULL,14,14,1456
1970,NULL,14,14,1468
3052,NULL,14,14,1424
4134,NULL,14,14,1410
5216,NULL,14,14,1429
6298,NULL,14,14,1447
7380,NULL,3,3,NULL
8462,NULL,2,2,NULL
9544,NULL,9,9,NULL
10626,NULL,5,5,NULL
22528,1911,19,19,NULL
1280,NULL,14,14,1468
2362,NULL,14,14,1408
3444,NULL,14,14,1423
4526,NULL,14,14,1421
5608,NULL,14,14,1450
6690,NULL,14,14,1420
7772,NULL,11,11,NULL
8854,1919,19,19,NULL
9936,1919,19,19,NULL
11018,NULL,16,16,NULL
12100,NULL,13,13,NULL
4838,NULL,14,14,1415
7755,NULL,11,11,NULL
12664,1915,19,19,NULL
15581,1953,19,19,NULL
6404,NULL,14,14,1420
8396,NULL,2,2,NULL
13351,1915,19,19,NULL
16222,1912,19,19,NULL
21177,1951,19,19,NULL
2800,NULL,14,14,1404
9793,NULL,9,9,NULL
12710,1915,19,19,NULL
14702,NULL,12,12,NULL
19780,1909,7,7,NULL
10434,NULL,5,5,NULL
14184,NULL,1,1,NULL
19139,NULL,7,7,NULL
21131,1922,19,19,NULL
6922,NULL,2,2,NULL
14748,NULL,12,12,NULL
16740,1920,19,19,NULL
17742,NULL,18,18,NULL
19657,NULL,7,7,NULL
4320,NULL,14,14,1410
8273,NULL,2,2,NULL
17101,NULL,12,12,NULL
18306,NULL,15,15,NULL
19093,NULL,15,15,NULL
4884,NULL,14,14,1415
5717,NULL,14,14,1406
6876,NULL,14,14,1425
7709,NULL,11,11,NULL
15704,1953,19,19,NULL
16786,1952,19,19,NULL
17619,NULL,1,1,NULL
6235,NULL,14,14,1435
6358,NULL,14,14,1447
16268,1955,19,19,NULL
17055,NULL,12,12,NULL
18137,NULL,1,1,NULL
18260,NULL,15,15,NULL
1844,NULL,14,14,1469
2923,NULL,14,14,1442
5840,NULL,14,14,1412
10749,1907,19,19,NULL
15658,1953,19,19,NULL
18575,NULL,15,15,NULL
18824,NULL,7,7,NULL
2236,NULL,14,14,1428
2531,NULL,14,14,1404
10357,NULL,5,5,NULL
18183,NULL,18,18,NULL
19216,1909,19,19,NULL
2282,NULL,14,14,1428
3364,NULL,14,14,1430
9229,NULL,10,10,NULL
10311,NULL,5,5,NULL
15266,1952,19,19,NULL
22213,1901,19,19,NULL
762,NULL,14,14,1456
1011,NULL,14,14,1456
4005,NULL,14,14,1410
11582,NULL,13,13,NULL
11831,1915,19,19,NULL
13746,NULL,6,6,NULL
14825,NULL,12,12,NULL
22651,NULL,14,14,1430
1449,NULL,14,14,1468
3318,NULL,14,14,1430
9275,1921,19,19,NULL
12269,NULL,14,14,1409
14433,NULL,12,12,NULL
20095,1907,19,19,NULL
22259,1901,19,19,NULL
10795,NULL,16,16,NULL
11877,NULL,14,14,1431
21615,1904,19,19,NULL
22697,NULL,3,3,NULL
1403,NULL,14,14,1444
2485,NULL,14,14,1404
10108,1919,19,19,NULL
11190,1907,19,19,NULL
20928,1922,19,19,NULL
22010,1908,19,19,NULL
8004,NULL,2,2,NULL
16660,1920,19,19,NULL
19577,1909,19,19,NULL
20739,1951,19,19,NULL
2408,NULL,14,14,1469
4400,NULL,14,14,1421
9355,NULL,10,10,NULL
11064,NULL,16,16,NULL
18011,NULL,1,1,NULL
1718,NULL,14,14,1444
15784,1953,19,19,NULL
3192,NULL,14,14,1430
8147,NULL,2,2,NULL
11393,NULL,13,13,NULL
20049,NULL,7,7,NULL
9,NULL,14,14,1442
4758,NULL,14,14,1441
6673,NULL,14,14,1420
8837,1921,19,19,NULL
17493,1909,19,19,NULL
19906,NULL,7,7,NULL
7314,NULL,8,8,NULL
9478,NULL,9,9,NULL
18134,NULL,1,1,NULL
19265,NULL,7,7,NULL
21257,1922,19,19,NULL
6109,NULL,14,14,1419
2720,NULL,14,14,1404
3802,NULL,14,14,1427
4635,NULL,14,14,1440
5966,NULL,14,14,1406
6799,NULL,14,14,1486
7881,1999,11,11,NULL
14622,NULL,12,12,NULL
15455,1953,19,19,NULL
16537,1920,19,19,NULL
17868,1909,19,19,NULL
18701,NULL,7,7,NULL
5276,NULL,14,14,1406
7440,NULL,3,3,NULL
8522,NULL,2,2,NULL
14104,NULL,1,1,NULL
15186,NULL,12,12,NULL
16096,1912,19,19,NULL
17178,NULL,18,18,NULL
17350,NULL,18,18,NULL
19342,NULL,7,7,NULL
7583,NULL,11,11,NULL
21492,1904,19,19,NULL
21741,1904,19,19,NULL
244,NULL,14,14,1442
7191,NULL,14,14,1425
13228,NULL,17,17,NULL
20175,1914,19,19,NULL
21884,1908,19,19,NULL
3882,NULL,14,14,1427
4964,NULL,14,14,1441
12538,NULL,13,13,NULL
13620,NULL,6,6,NULL
16866,NULL,18,18,NULL
636,NULL,14,14,1458
4274,NULL,14,14,1410
18495,NULL,15,15,NULL
20410,1914,19,19,NULL
20659,1902,19,19,NULL
22574,NULL,14,14,1430
22823,NULL,11,11,NULL
1326,NULL,14,14,1468
3490,NULL,14,14,1430
9982,NULL,5,5,NULL
12146,NULL,13,13,NULL
14310,NULL,1,1,NULL
22966,NULL,1,1,NULL
885,NULL,14,14,1456
1967,NULL,14,14,1468
3049,NULL,14,14,1414
4131,NULL,14,14,1410
10623,NULL,5,5,NULL
11705,NULL,14,14,1464
12787,1915,19,19,NULL
13869,NULL,6,6,NULL
14951,NULL,12,12,NULL
16033,1912,19,19,NULL
22525,1911,19,19,NULL
493,NULL,14,14,1456
1575,NULL,14,14,1444
2657,NULL,14,14,1404
9149,1921,19,19,NULL
10231,NULL,5,5,NULL
11313,1907,19,19,NULL
12395,NULL,13,13,NULL
13477,NULL,6,6,NULL
21051,1951,19,19,NULL
22133,1902,19,19,NULL
8585,1918,19,19,NULL
11502,NULL,14,14,1431
13494,NULL,6,6,NULL
16411,1920,19,19,NULL
7566,NULL,11,11,NULL
12521,NULL,13,13,NULL
14513,NULL,12,12,NULL
15392,1953,19,19,NULL
20347,1914,19,19,NULL
22886,NULL,11,11,NULL
1137,NULL,14,14,1457
6046,NULL,14,14,1412
6547,NULL,14,14,1420
11456,NULL,14,14,1431
18449,NULL,15,15,NULL
21366,1904,19,19,NULL
118,NULL,14,14,1442
2110,NULL,14,14,1469
5528,NULL,14,14,1406
7065,NULL,14,14,1426
10483,NULL,5,5,NULL
12475,NULL,14,14,1431
17430,NULL,18,18,NULL
22385,1901,19,19,NULL
22840,NULL,11,11,NULL
258,NULL,14,14,1442
1592,NULL,14,14,1444
4509,NULL,14,14,1448
6092,NULL,14,14,1435
8084,NULL,2,2,NULL
11001,NULL,16,16,NULL
16912,1952,19,19,NULL
18904,NULL,7,7,NULL
21821,1906,19,19,NULL
2156,NULL,14,14,1469
12976,NULL,1,1,NULL
19468,1915,19,19,NULL
1638,1918,19,19,NULL
3630,NULL,14,14,1417
7048,NULL,14,14,1426
8130,NULL,2,2,NULL
9040,1921,19,19,NULL
10122,1919,19,19,NULL
13540,NULL,6,6,NULL
18950,NULL,7,7,NULL
3112,NULL,14,14,1414
4194,NULL,14,14,1441
9604,NULL,9,9,NULL
15014,NULL,12,12,NULL
20424,1914,19,19,NULL
21506,1904,19,19,NULL
2093,NULL,14,14,1491
2674,NULL,14,14,1404
5591,NULL,14,14,1450
7002,NULL,14,14,1426
9919,1919,19,19,NULL
15077,NULL,12,12,NULL
19405,NULL,7,7,NULL
19986,NULL,14,14,1432
22903,NULL,1,1,NULL
1701,NULL,14,14,1444
6029,NULL,14,14,1406
19013,NULL,7,7,NULL
14874,NULL,12,12,NULL
15956,1955,19,19,NULL
20284,1914,19,19,NULL
573,NULL,14,14,1459
1655,NULL,2,2,NULL
5983,NULL,14,14,1406
6610,NULL,14,14,1420
10938,NULL,16,16,NULL
12020,NULL,14,14,1429
13557,NULL,6,6,NULL
16348,1920,19,19,NULL
17885,1909,19,19,NULL
18967,NULL,7,7,NULL
3175,NULL,14,14,1430
7503,NULL,3,3,NULL
9667,NULL,9,9,NULL
13995,NULL,6,6,NULL
20487,1914,19,19,NULL
619,NULL,14,14,1458
7111,1911,19,19,NULL
11439,NULL,14,14,1431
13603,NULL,6,6,NULL
17931,1909,19,19,NULL
321,NULL,14,14,1428
3567,NULL,14,14,1423
4649,NULL,14,14,1441
5731,NULL,14,14,1406
510,NULL,14,14,1456
4257,NULL,14,14,1410
7174,NULL,14,14,1425
9166,1921,19,19,NULL
12913,NULL,1,1,NULL
15830,1953,19,19,NULL
17822,NULL,18,18,NULL
21569,1904,19,19,NULL
1529,NULL,14,14,1444
3238,NULL,14,14,1430
8193,NULL,2,2,NULL
10185,1901,19,19,NULL
11894,NULL,14,14,1431
16849,NULL,18,18,NULL
20550,1914,19,19,NULL
2219,NULL,14,14,1469
5465,NULL,14,14,1406
10875,NULL,16,16,NULL
13792,NULL,6,6,NULL
14121,NULL,1,1,NULL
17038,1909,19,19,NULL
19531,NULL,7,7,NULL
22448,1919,19,19,NULL
22777,NULL,11,11,NULL
1200,NULL,14,14,1438
4446,NULL,14,14,1421
9401,NULL,10,10,NULL
9856,NULL,9,9,NULL
13102,NULL,4,4,NULL
14811,NULL,12,12,NULL
18057,NULL,1,1,NULL
18512,NULL,15,15,NULL
21758,1904,19,19,NULL
3756,NULL,14,14,1427
3928,NULL,14,14,1427
5920,NULL,14,14,1406
10420,NULL,5,5,NULL
12412,NULL,13,13,NULL
12584,NULL,14,14,1403
14576,NULL,12,12,NULL
19076,NULL,7,7,NULL
21240,1922,19,19,NULL
6484,NULL,14,14,1420
8648,NULL,2,2,NULL
15140,NULL,12,12,NULL
17304,NULL,18,18,NULL
2548,NULL,14,14,1404
4712,NULL,14,14,1441
5794,NULL,14,14,1419
